filename,full_path,source_type,competition,season,rows,columns,row_groups,size_mb,modified_utc,sha256,status,error
sofascore_match_team_stats__France_Ligue_1__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__France_Ligue_1__2023_2024.parquet,sofascore_match_team_stats,France Ligue 1,2023-2024,36587,19,1,0.288,2026-07-30T20:32:48.077504635+00:00,bd77fa7900ba348cf8d689b0bd3331ccb41338a1affefeded0d4fa523f0ce560,ok,
sofascore_match_team_stats__France_Ligue_1__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__France_Ligue_1__2024_2025.parquet,sofascore_match_team_stats,France Ligue 1,2024-2025,38582,19,1,0.32,2026-07-30T19:48:39.468657017+00:00,c730633a048fcff87c85e351ecf515cea029d32450d9f2612ba6a6d92da24efa,ok,
sofascore_match_team_stats__France_Ligue_1__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__France_Ligue_1__2025_2026.parquet,sofascore_match_team_stats,France Ligue 1,2025-2026,38935,19,1,0.317,2026-07-30T19:03:57.268597841+00:00,dcdc90a3e82da6e758cd5f01d257790b290a2b4766d3daabaefa2e09e8507ee0,ok,
sofascore_match_team_stats__Germany_Bundesliga__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Germany_Bundesliga__2023_2024.parquet,sofascore_match_team_stats,Germany Bundesliga,2023-2024,36377,19,1,0.285,2026-07-30T15:37:05.076382160+00:00,03cbdeb53943aff44f87423fa136e4948848a9b08016a1be6241f739d60b2efd,ok,
sofascore_match_team_stats__Germany_Bundesliga__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Germany_Bundesliga__2024_2025.parquet,sofascore_match_team_stats,Germany Bundesliga,2024-2025,38211,19,1,0.316,2026-07-30T14:53:04.408837318+00:00,5bbe34e3a299bc48bd79b4342def65afd14c9116ae86fb38a797fa9957586cd1,ok,
sofascore_match_team_stats__Germany_Bundesliga__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Germany_Bundesliga__2025_2026.parquet,sofascore_match_team_stats,Germany Bundesliga,2025-2026,38927,19,1,0.32,2026-07-30T14:07:28.705820560+00:00,79a4a5d75a572ce1bf171672d392733d6036347b53612937004b7e7a53ae3bfc,ok,
sofascore_match_team_stats__Italy_Serie_A__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Italy_Serie_A__2023_2024.parquet,sofascore_match_team_stats,Italy Serie A,2023-2024,44688,19,1,0.347,2026-07-30T18:20:58.999444962+00:00,8451878107e185d25a310f37054e21d263a1b49eb858d0320797a4d9e7beb5c2,ok,
sofascore_match_team_stats__Italy_Serie_A__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Italy_Serie_A__2024_2025.parquet,sofascore_match_team_stats,Italy Serie A,2024-2025,47037,19,1,0.38,2026-07-30T17:26:17.020042658+00:00,e03d4e4946d1c11d93a9df1a41fe1e3a853bfcb6c72ad5ce3c85e5119f5db18d,ok,
sofascore_match_team_stats__Italy_Serie_A__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Italy_Serie_A__2025_2026.parquet,sofascore_match_team_stats,Italy Serie A,2025-2026,47649,19,1,0.383,2026-07-30T16:30:09.331528187+00:00,3a21f83363b97e62ddacafdd4bd6b064f85c4cbe74efc92c9f475e0f20a0d152,ok,
sofascore_match_team_stats__Netherlands_Eredivisie__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__Netherlands_Eredivisie__2023_2024.parquet,sofascore_match_team_stats,Netherlands Eredivisie,2023-2024,37886,19,1,0.301,2026-07-30T22:50:15.546376228+00:00,67666dcfd0025e621a5d85ab6b99ff173382bd81c9c1ed0bb1581fcc89e22ddd,ok,
